source	target	class
map04510	Zm00001eb011460	Cellular Processes
map04520	Zm00001eb023910	Cellular Processes
map04530	Zm00001eb005220	Cellular Processes
map04540	Zm00001eb000490	Cellular Processes
map04550	Zm00001eb073870	Cellular Processes
map04611	Zm00001eb011980	Organismal Systems
map04612	Zm00001eb012510	Organismal Systems
map04613	Zm00001eb002060	Organismal Systems
map04614	Zm00001eb038510	Organismal Systems
map04620	Zm00001eb017800	Organismal Systems
map04621	Zm00001eb003070	Organismal Systems
map04622	Zm00001eb067280	Organismal Systems
map04623	Zm00001eb049200	Organismal Systems
map04624	Zm00001eb017800	Organismal Systems
map04625	Zm00001eb015200	Organismal Systems
map04626	Zm00001eb002180	Organismal Systems
map04630	Zm00001eb030540	Environmental Information Processing
map04650	Zm00001eb023890	Organismal Systems
map04657	Zm00001eb034130	Organismal Systems
map04658	Zm00001eb023890	Organismal Systems
map04659	Zm00001eb023890	Organismal Systems
map04660	Zm00001eb005220	Organismal Systems
map04662	Zm00001eb023890	Organismal Systems
map04664	Zm00001eb108620	Organismal Systems
map04666	Zm00001eb001370	Organismal Systems
map04668	Zm00001eb085760	Environmental Information Processing
map04670	Zm00001eb208230	Organismal Systems
map04710	Zm00001eb000020	Organismal Systems
map04711	Zm00001eb045930	Organismal Systems
map04712	Zm00001eb014850	Organismal Systems
map04713	Zm00001eb015200	Organismal Systems
map04714	Zm00001eb000800	Organismal Systems
map04720	Zm00001eb011980	Organismal Systems
map04721	Zm00001eb029450	Organismal Systems
map04722	Zm00001eb015200	Organismal Systems
map04723	Zm00001eb013640	Organismal Systems
map04724	Zm00001eb001370	Organismal Systems
map04725	Zm00001eb108620	Organismal Systems
map04726	Zm00001eb108620	Organismal Systems
map04727	Zm00001eb029450	Organismal Systems
map04728	Zm00001eb005220	Organismal Systems
map04730	Zm00001eb005220	Organismal Systems
map04740	Zm00001eb015200	Organismal Systems
map04742	ID_0079	Organismal Systems
map04744	Zm00001eb015200	Organismal Systems
map04745	Zm00001eb015200	Organismal Systems
map04750	Zm00001eb011980	Organismal Systems
map04810	Zm00001eb010370	Cellular Processes
map04814	Zm00001eb000490	Cellular Processes
map04910	Zm00001eb011940	Organismal Systems
map04911	Zm00001eb242620	Organismal Systems
map04912	Zm00001eb001370	Organismal Systems
map04913	Zm00001eb040180	Organismal Systems
map04914	Zm00001eb010020	Organismal Systems
map04915	Zm00001eb012510	Organismal Systems
map04916	Zm00001eb015200	Organismal Systems
map04917	Zm00001eb040180	Organismal Systems
map04918	Zm00001eb004790	Organismal Systems
map04919	Zm00001eb013380	Organismal Systems
map04920	Zm00001eb009430	Organismal Systems
map04921	Zm00001eb011980	Organismal Systems
map04922	Zm00001eb011940	Organismal Systems
map04923	Zm00001eb025780	Organismal Systems
map04924	Zm00001eb015200	Organismal Systems
map04925	Zm00001eb015200	Organismal Systems
map04926	Zm00001eb108620	Organismal Systems
map04927	Zm00001eb040180	Organismal Systems
map04928	Zm00001eb001370	Organismal Systems
map04929	Zm00001eb108620	Organismal Systems
map04930	Zm00001eb024280	Human Diseases
map04931	Zm00001eb011980	Human Diseases
map04932	Zm00001eb009430	Human Diseases
map04933	Zm00001eb013380	Human Diseases
map04934	Zm00001eb007220	Human Diseases
map04935	Zm00001eb030540	Organismal Systems
map04936	Zm00001eb006760	Human Diseases
map04940	Zm00001eb010540	Human Diseases
map04960	Zm00001eb108620	Organismal Systems
map04961	Zm00001eb006850	Organismal Systems
map04962	Zm00001eb006850	Organismal Systems
map04964	Zm00001eb045790	Organismal Systems
map04966	Zm00001eb119630	Organismal Systems
map04970	Zm00001eb015200	Organismal Systems
map04971	Zm00001eb015200	Organismal Systems
map04972	Zm00001eb006850	Organismal Systems
map04973	Zm00001eb141560	Organismal Systems
map04974	Zm00001eb189540	Organismal Systems
map04975	Zm00001eb019210	Organismal Systems
map04976	Zm00001eb012760	Organismal Systems
map04977	Zm00001eb030300	Organismal Systems
map04978	Zm00001eb005820	Organismal Systems
map04979	Zm00001eb003070	Organismal Systems
map05010	Zm00001eb000490	Human Diseases
map05012	Zm00001eb000490	Human Diseases
map05014	Zm00001eb000490	Human Diseases
map05016	Zm00001eb000490	Human Diseases
map05017	Zm00001eb001350	Human Diseases
map05020	Zm00001eb000490	Human Diseases
map05022	Zm00001eb000490	Human Diseases
map05030	ID_0537	Human Diseases
map05031	Zm00001eb011980	Human Diseases
map05032	Zm00001eb029450	Human Diseases
map05033	Zm00001eb029450	Human Diseases
map05034	Zm00001eb004730	Human Diseases
map05100	Zm00001eb041920	Human Diseases
map05110	Zm00001eb008550	Human Diseases
map05111	Zm00001eb002740	Cellular Processes
map05120	Zm00001eb119630	Human Diseases
map05130	Zm00001eb000490	Human Diseases
map05131	Zm00001eb000020	Human Diseases
map05132	Zm00001eb000020	Human Diseases
map05133	Zm00001eb010370	Human Diseases
map05134	Zm00001eb004170	Human Diseases
map05135	Zm00001eb011460	Human Diseases
map05140	Zm00001eb017800	Human Diseases
map05142	Zm00001eb005220	Human Diseases
map05143	Zm00001eb056220	Human Diseases
map05145	Zm00001eb002180	Human Diseases
map05146	Zm00001eb169240	Human Diseases
map05152	Zm00001eb010540	Human Diseases
map05160	Zm00001eb005220	Human Diseases
map05161	Zm00001eb017800	Human Diseases
map05162	Zm00001eb003700	Human Diseases
map05163	Zm00001eb015200	Human Diseases
map05164	Zm00001eb002060	Human Diseases
map05165	Zm00001eb005220	Human Diseases
map05166	Zm00001eb002060	Human Diseases
map05167	Zm00001eb009900	Human Diseases
map05168	Zm00001eb011980	Human Diseases
map05169	Zm00001eb010400	Human Diseases
map05170	Zm00001eb000020	Human Diseases
map05171	Zm00001eb002520	Human Diseases
map05200	Zm00001eb000020	Human Diseases
map05202	Zm00001eb001290	Human Diseases
map05203	Zm00001eb009100	Human Diseases
map05204	Zm00001eb002810	Human Diseases
map05205	Zm00001eb011980	Human Diseases
map05206	Zm00001eb001680	Human Diseases
map05207	Zm00001eb002810	Human Diseases
map05208	Zm00001eb001370	Human Diseases
map05210	Zm00001eb015960	Human Diseases
map05211	Zm00001eb030540	Human Diseases
map05212	Zm00001eb001370	Human Diseases
map05213	Zm00001eb108620	Human Diseases
map05214	Zm00001eb015200	Human Diseases
map05215	Zm00001eb030540	Human Diseases
map05216	Zm00001eb108620	Human Diseases
map05217	Zm00001eb204440	Human Diseases
map05218	Zm00001eb089380	Human Diseases
map05219	Zm00001eb089380	Human Diseases
map05220	Zm00001eb089380	Human Diseases
map05221	Zm00001eb015960	Human Diseases
map05222	Zm00001eb089380	Human Diseases
map05223	Zm00001eb089380	Human Diseases
map05224	Zm00001eb015960	Human Diseases
map05225	Zm00001eb000800	Human Diseases
map05226	Zm00001eb012760	Human Diseases
map05230	Zm00001eb019890	Human Diseases
map05231	Zm00001eb001370	Human Diseases
map05235	Zm00001eb015960	Human Diseases
map05322	Zm00001eb004730	Human Diseases
map05323	Zm00001eb010140	Human Diseases
map05340	Zm00001eb110820	Human Diseases
map05410	Zm00001eb013270	Human Diseases
map05412	Zm00001eb056130	Human Diseases
map05414	Zm00001eb056130	Human Diseases
map05415	Zm00001eb002060	Human Diseases
map05416	Zm00001eb106680	Human Diseases
map05417	Zm00001eb010540	Human Diseases
map05418	Zm00001eb002810	Human Diseases
map07034	ID_0149	Drug Development
map07035	ID_0149	Drug Development
map07110	ID_0739	Drug Development
map07216	ID_0911	Drug Development
map07225	ID_0559	Drug Development
map07225	ID_0651	Drug Development
map05418	Zm00001eb034130	Human Diseases
map05418	Zm00001eb041140	Human Diseases
map05418	Zm00001eb048110	Human Diseases
map05418	Zm00001eb054680	Human Diseases
map05418	Zm00001eb058380	Human Diseases
map05418	Zm00001eb059930	Human Diseases
map05418	Zm00001eb061180	Human Diseases
map05418	Zm00001eb075740	Human Diseases
map05418	Zm00001eb081520	Human Diseases
map05418	Zm00001eb093450	Human Diseases
map05418	Zm00001eb093950	Human Diseases
map05418	Zm00001eb094400	Human Diseases
map05418	Zm00001eb101750	Human Diseases
map05418	Zm00001eb110020	Human Diseases
map05418	Zm00001eb118540	Human Diseases
map05418	Zm00001eb122490	Human Diseases
map05418	Zm00001eb123200	Human Diseases
map05418	Zm00001eb124790	Human Diseases
map05418	Zm00001eb128040	Human Diseases
map05418	Zm00001eb129820	Human Diseases
map05418	Zm00001eb133330	Human Diseases
map05418	Zm00001eb137900	Human Diseases
map05418	Zm00001eb138600	Human Diseases
map05418	Zm00001eb141080	Human Diseases
map05418	Zm00001eb143080	Human Diseases
map05418	Zm00001eb149390	Human Diseases
map05418	Zm00001eb152500	Human Diseases
map05418	Zm00001eb162390	Human Diseases
map05418	Zm00001eb162810	Human Diseases
map05418	Zm00001eb170980	Human Diseases
map05418	Zm00001eb173570	Human Diseases
map05418	Zm00001eb190770	Human Diseases
map05418	Zm00001eb195230	Human Diseases
map05418	Zm00001eb196020	Human Diseases
map05418	Zm00001eb199230	Human Diseases
map05418	Zm00001eb199590	Human Diseases
map05418	Zm00001eb208230	Human Diseases
map05418	Zm00001eb212760	Human Diseases
map05418	Zm00001eb217030	Human Diseases
map05418	Zm00001eb228120	Human Diseases
map05418	Zm00001eb230300	Human Diseases
map05418	Zm00001eb232690	Human Diseases
map05418	Zm00001eb248520	Human Diseases
map05418	Zm00001eb256380	Human Diseases
map05418	Zm00001eb259660	Human Diseases
map05418	Zm00001eb272290	Human Diseases
map05418	Zm00001eb273450	Human Diseases
map05418	Zm00001eb277280	Human Diseases
map05418	Zm00001eb279440	Human Diseases
map05418	Zm00001eb281920	Human Diseases
map05418	Zm00001eb286750	Human Diseases
map05418	Zm00001eb288100	Human Diseases
map05418	Zm00001eb290730	Human Diseases
map05418	Zm00001eb291340	Human Diseases
map05418	Zm00001eb292760	Human Diseases
map05418	Zm00001eb302140	Human Diseases
map05418	Zm00001eb315880	Human Diseases
map05418	Zm00001eb316410	Human Diseases
map05418	Zm00001eb328710	Human Diseases
map05418	Zm00001eb331210	Human Diseases
map05418	Zm00001eb333100	Human Diseases
map05418	Zm00001eb337880	Human Diseases
map05418	Zm00001eb338250	Human Diseases
map05418	Zm00001eb352350	Human Diseases
map05418	Zm00001eb353070	Human Diseases
map05418	Zm00001eb353170	Human Diseases
map05418	Zm00001eb353700	Human Diseases
map05418	Zm00001eb354270	Human Diseases
map05418	Zm00001eb356570	Human Diseases
map05418	Zm00001eb356600	Human Diseases
map05418	Zm00001eb364660	Human Diseases
map05418	Zm00001eb370540	Human Diseases
map05418	Zm00001eb370550	Human Diseases
map05418	Zm00001eb372070	Human Diseases
map05418	Zm00001eb383730	Human Diseases
map05418	Zm00001eb383740	Human Diseases
map05418	Zm00001eb389850	Human Diseases
map05418	Zm00001eb393610	Human Diseases
map05418	Zm00001eb395750	Human Diseases
map05418	Zm00001eb395970	Human Diseases
map05418	Zm00001eb402630	Human Diseases
map05418	Zm00001eb409190	Human Diseases
map05418	Zm00001eb411740	Human Diseases
map05418	Zm00001eb418040	Human Diseases
map05418	Zm00001eb418610	Human Diseases
map05418	Zm00001eb431490	Human Diseases
map05418	Zm00001eb433660	Human Diseases
map05418	novel1122	Human Diseases
map05417	Zm00001eb396830	Human Diseases
map05417	Zm00001eb397600	Human Diseases
map05417	Zm00001eb398020	Human Diseases
map05417	Zm00001eb400020	Human Diseases
map05417	Zm00001eb407510	Human Diseases
map05417	Zm00001eb409950	Human Diseases
map05417	Zm00001eb417810	Human Diseases
map05417	Zm00001eb418610	Human Diseases
map05417	Zm00001eb426060	Human Diseases
map05417	Zm00001eb434570	Human Diseases
map05417	novel1122	Human Diseases
map05417	novel13254	Human Diseases
map05417	novel5434	Human Diseases
map05171	Zm00001eb261340	Human Diseases
map05171	Zm00001eb261840	Human Diseases
map05171	Zm00001eb262530	Human Diseases
map05171	Zm00001eb270360	Human Diseases
map05171	Zm00001eb271540	Human Diseases
map05171	Zm00001eb272800	Human Diseases
map05171	Zm00001eb273640	Human Diseases
map05171	Zm00001eb273660	Human Diseases
map05171	Zm00001eb273670	Human Diseases
map05171	Zm00001eb273900	Human Diseases
map05171	Zm00001eb278610	Human Diseases
map05171	Zm00001eb281330	Human Diseases
map05171	Zm00001eb281810	Human Diseases
map05171	Zm00001eb282450	Human Diseases
map05171	Zm00001eb282790	Human Diseases
map05171	Zm00001eb282960	Human Diseases
map05171	Zm00001eb283950	Human Diseases
map05171	Zm00001eb285610	Human Diseases
map05171	Zm00001eb289680	Human Diseases
map05171	Zm00001eb289870	Human Diseases
map05171	Zm00001eb294420	Human Diseases
map05171	Zm00001eb295670	Human Diseases
map05171	Zm00001eb295950	Human Diseases
map05171	Zm00001eb296060	Human Diseases
map05171	Zm00001eb301010	Human Diseases
map05171	Zm00001eb301640	Human Diseases
map05171	Zm00001eb303080	Human Diseases
map05171	Zm00001eb303720	Human Diseases
map05171	Zm00001eb304440	Human Diseases
map05171	Zm00001eb304470	Human Diseases
map05171	Zm00001eb305760	Human Diseases
map05171	Zm00001eb307510	Human Diseases
map05171	Zm00001eb317450	Human Diseases
map05171	Zm00001eb317470	Human Diseases
map05171	Zm00001eb317810	Human Diseases
map05171	Zm00001eb321580	Human Diseases
map05171	Zm00001eb321600	Human Diseases
map05171	Zm00001eb327250	Human Diseases
map05171	Zm00001eb327330	Human Diseases
map05171	Zm00001eb327790	Human Diseases
map05171	Zm00001eb328950	Human Diseases
map05171	Zm00001eb330470	Human Diseases
map05171	Zm00001eb330480	Human Diseases
map05171	Zm00001eb332790	Human Diseases
map05171	Zm00001eb335620	Human Diseases
map05171	Zm00001eb340580	Human Diseases
map05171	Zm00001eb342400	Human Diseases
map05171	Zm00001eb343870	Human Diseases
map05171	Zm00001eb344740	Human Diseases
map05171	Zm00001eb346100	Human Diseases
map05171	Zm00001eb347340	Human Diseases
map05171	Zm00001eb347380	Human Diseases
map05171	Zm00001eb348240	Human Diseases
map05171	Zm00001eb348960	Human Diseases
map05171	Zm00001eb351330	Human Diseases
map05171	Zm00001eb352180	Human Diseases
map05171	Zm00001eb359150	Human Diseases
map05171	Zm00001eb359780	Human Diseases
map05171	Zm00001eb360630	Human Diseases
map05171	Zm00001eb361700	Human Diseases
map05171	Zm00001eb362490	Human Diseases
map05171	Zm00001eb364190	Human Diseases
map05171	Zm00001eb365710	Human Diseases
map05171	Zm00001eb369510	Human Diseases
map05171	Zm00001eb373790	Human Diseases
map05171	Zm00001eb374200	Human Diseases
map05171	Zm00001eb374300	Human Diseases
map05171	Zm00001eb376870	Human Diseases
map05171	Zm00001eb378000	Human Diseases
map05171	Zm00001eb379270	Human Diseases
map05171	Zm00001eb380640	Human Diseases
map05171	Zm00001eb383260	Human Diseases
map05171	Zm00001eb384890	Human Diseases
map05171	Zm00001eb386340	Human Diseases
map05171	Zm00001eb386940	Human Diseases
map05171	Zm00001eb392290	Human Diseases
map05171	Zm00001eb393200	Human Diseases
map05171	Zm00001eb394290	Human Diseases
map05171	Zm00001eb394940	Human Diseases
map05171	Zm00001eb396650	Human Diseases
map05171	Zm00001eb396730	Human Diseases
map05171	Zm00001eb398020	Human Diseases
map05171	Zm00001eb398590	Human Diseases
map05171	Zm00001eb400820	Human Diseases
map05171	Zm00001eb401700	Human Diseases
map05171	Zm00001eb402570	Human Diseases
map05171	Zm00001eb405580	Human Diseases
map05171	Zm00001eb414310	Human Diseases
map05171	Zm00001eb415410	Human Diseases
map05171	Zm00001eb415950	Human Diseases
map05171	Zm00001eb417810	Human Diseases
map05171	Zm00001eb418770	Human Diseases
map05171	Zm00001eb420570	Human Diseases
map05171	Zm00001eb422490	Human Diseases
map05171	Zm00001eb426060	Human Diseases
map05171	Zm00001eb426610	Human Diseases
map05171	Zm00001eb430180	Human Diseases
map05171	Zm00001eb430450	Human Diseases
map05171	Zm00001eb430770	Human Diseases
map05171	Zm00001eb431270	Human Diseases
map05171	Zm00001eb442890	Human Diseases
map05171	novel1197	Human Diseases
map05171	novel12996	Human Diseases
map05171	novel13067	Human Diseases
map05171	novel13774	Human Diseases
map05171	novel15291	Human Diseases
map05171	novel15298	Human Diseases
map05171	novel15660	Human Diseases
map05171	novel17718	Human Diseases
map05171	novel18984	Human Diseases
map05171	novel19037	Human Diseases
map05171	novel19523	Human Diseases
map05171	novel20582	Human Diseases
map05171	novel3842	Human Diseases
map05171	novel5153	Human Diseases
map05171	novel8145	Human Diseases
